trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-78.52686181586444,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-103.52860484200863,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",30,0,-156.2179044526939,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",30,0,-145.60500344985584,"{0: 17, 1: 4, 2: 4, 3: 5, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-79.33234805634069,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",30,0,-205.47367016023983,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",30,0,-168.17393674407714,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-162.66724016684952,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-55.87048018813197,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-61.6649622580836,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",30,0,-30.91798796935694,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-64.71016642038285,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-48.70332212498588,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-253.7380396786476,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 5}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",30,0,-140.64394552478817,"{0: 15, 1: 7, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,15,-3.7913959888767206,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,0,-34.75792962869592,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",30,0,-131.0048253250764,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,7,-49.474216619088935,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-146.1116030718508,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
